,gene,trans_id,index,start,end,sample,FPKM
0,A2ML1,0,0,8845175,8845441,0,0
1,A2ML1,0,1,8845503,8846076,0,0
2,A2ML1,0,2,8846223,8847548,0,0
3,A2ML1,0,3,8847699,8848719,0,0
4,A2ML1,0,4,8848915,8849668,0,0
5,A2ML1,0,5,8849760,8850159,0,0
6,A2ML1,0,6,8850275,8851783,0,0
7,A2ML1,0,7,8852013,8852209,0,0
8,A2ML1,0,8,8852337,8854127,0,0
9,A2ML1,0,9,8854250,8854779,0,0
10,A2ML1,0,10,8854832,8855508,0,0
11,A2ML1,0,11,8855593,8857163,0,0
12,A2ML1,0,12,8857341,8857506,0,0
13,A2ML1,0,13,8857589,8857945,0,0
14,A2ML1,0,14,8858103,8860880,0,0
15,A2ML1,0,15,8860956,8861134,0,0
16,A2ML1,0,16,8861298,8863793,0,0
17,A2ML1,0,17,8864009,8867841,0,0
18,A2ML1,0,18,8868058,8868229,0,0
19,A2ML1,0,19,8868358,8868536,0,0
20,A2ML1,0,20,8868628,8869134,0,0
21,A2ML1,0,21,8869204,8874424,0,0
22,A2ML1,0,22,8874528,8874970,0,0
23,A2ML1,0,23,8875013,8876057,0,0
24,A2ML1,0,24,8875013,8880523,0,0
25,A2ML1,0,25,8880617,8886506,0,0
26,A2ML1,1,0,8845175,8845441,0,0
27,A2ML1,1,1,8845503,8846076,0,0
28,A2ML1,1,2,8846223,8847548,0,0
29,A2ML1,1,3,8847699,8848719,0,0
30,A2ML1,1,4,8848915,8849668,0,0
31,A2ML1,1,5,8849760,8850159,0,0
32,A2ML1,1,6,8850275,8851783,0,0
33,A2ML1,1,7,8852013,8852209,0,0
34,A2ML1,1,8,8852337,8854127,0,0
35,A2ML1,1,9,8854250,8854779,0,0
36,A2ML1,1,10,8854832,8855508,0,0
37,A2ML1,1,11,8855593,8857163,0,0
38,A2ML1,1,12,8857341,8857506,0,0
39,A2ML1,1,13,8857589,8857945,0,0
40,A2ML1,1,14,8858103,8860880,0,0
41,A2ML1,1,15,8860956,8861134,0,0
42,A2ML1,1,16,8861298,8863793,0,0
43,A2ML1,1,17,8864009,8867841,0,0
44,A2ML1,1,18,8868058,8868229,0,0
45,A2ML1,1,19,8868358,8868536,0,0
46,A2ML1,1,20,8868628,8869134,0,0
47,A2ML1,1,21,8869204,8874424,0,0
48,A2ML1,1,22,8874528,8874970,0,0
49,A2ML1,1,23,8875013,8876057,0,0
50,A2ML1,1,24,8875013,8880523,0,0
51,A2ML1,1,25,8880617,8886506,0,0
52,A2ML1,2,0,8845175,8845441,0,0
53,A2ML1,2,1,8845503,8846076,0,0
54,A2ML1,2,2,8846223,8847548,0,0
55,A2ML1,2,3,8847699,8848719,0,0
56,A2ML1,2,4,8848915,8849668,0,0
57,A2ML1,2,5,8849760,8850159,0,0
58,A2ML1,2,6,8850275,8851783,0,0
59,A2ML1,2,7,8852013,8852209,0,0
60,A2ML1,2,8,8852337,8854127,0,0
61,A2ML1,2,9,8854250,8854779,0,0
62,A2ML1,2,10,8854832,8855508,0,0
63,A2ML1,2,11,8855593,8857163,0,0
64,A2ML1,2,12,8857341,8857506,0,0
65,A2ML1,2,13,8857589,8857945,0,0
66,A2ML1,2,14,8858103,8860880,0,0
67,A2ML1,2,15,8860956,8861134,0,0
68,A2ML1,2,16,8861298,8863793,0,0
69,A2ML1,2,17,8864009,8867841,0,0
70,A2ML1,2,18,8868058,8868229,0,0
71,A2ML1,2,19,8868358,8868536,0,0
72,A2ML1,2,20,8868628,8869134,0,32
73,A2ML1,2,21,8869204,8874424,0,0
74,A2ML1,2,22,8874528,8874970,0,36
75,A2ML1,2,23,8875013,8876057,0,0
76,A2ML1,2,24,8875013,8880523,0,0
77,A2ML1,2,25,8880617,8886506,0,0
78,A2ML1,0,0,8845175,8845441,1,0
79,A2ML1,0,1,8845503,8846076,1,0
80,A2ML1,0,2,8846223,8847548,1,15
81,A2ML1,0,3,8847699,8848719,1,16
82,A2ML1,0,4,8848915,8849668,1,0
83,A2ML1,0,5,8849760,8850159,1,2
84,A2ML1,0,6,8850275,8851783,1,4
85,A2ML1,0,7,8852013,8852209,1,0
86,A2ML1,0,8,8852337,8854127,1,15
87,A2ML1,0,9,8854250,8854779,1,32
88,A2ML1,0,10,8854832,8855508,1,0
89,A2ML1,0,11,8855593,8857163,1,30
90,A2ML1,0,12,8857341,8857506,1,0
91,A2ML1,0,13,8857589,8857945,1,0
92,A2ML1,0,14,8858103,8860880,1,20
93,A2ML1,0,15,8860956,8861134,1,0
94,A2ML1,0,16,8861298,8863793,1,30
95,A2ML1,0,17,8864009,8867841,1,21
96,A2ML1,0,18,8868058,8868229,1,17
97,A2ML1,0,19,8868358,8868536,1,7
98,A2ML1,0,20,8868628,8869134,1,12
99,A2ML1,0,21,8869204,8874424,1,6
100,A2ML1,0,22,8874528,8874970,1,5
101,A2ML1,0,23,8875013,8876057,1,20
102,A2ML1,0,24,8875013,8880523,1,14
103,A2ML1,0,25,8880617,8886506,1,14
104,A2ML1,1,0,8845175,8845441,1,0
105,A2ML1,1,1,8845503,8846076,1,0
106,A2ML1,1,2,8846223,8847548,1,20
107,A2ML1,1,3,8847699,8848719,1,19
108,A2ML1,1,4,8848915,8849668,1,0
109,A2ML1,1,5,8849760,8850159,1,29
110,A2ML1,1,6,8850275,8851783,1,28
111,A2ML1,1,7,8852013,8852209,1,36
112,A2ML1,1,8,8852337,8854127,1,24
113,A2ML1,1,9,8854250,8854779,1,0
114,A2ML1,1,10,8854832,8855508,1,0
115,A2ML1,1,11,8855593,8857163,1,0
116,A2ML1,1,12,8857341,8857506,1,0
117,A2ML1,1,13,8857589,8857945,1,0
118,A2ML1,1,14,8858103,8860880,1,10
119,A2ML1,1,15,8860956,8861134,1,0
120,A2ML1,1,16,8861298,8863793,1,0
121,A2ML1,1,17,8864009,8867841,1,10
122,A2ML1,1,18,8868058,8868229,1,23
123,A2ML1,1,19,8868358,8868536,1,30
124,A2ML1,1,20,8868628,8869134,1,26
125,A2ML1,1,21,8869204,8874424,1,26
126,A2ML1,1,22,8874528,8874970,1,41
127,A2ML1,1,23,8875013,8876057,1,18
128,A2ML1,1,24,8875013,8880523,1,21
129,A2ML1,1,25,8880617,8886506,1,16
130,A2ML1,2,0,8845175,8845441,1,0
131,A2ML1,2,1,8845503,8846076,1,0
132,A2ML1,2,2,8846223,8847548,1,0
133,A2ML1,2,3,8847699,8848719,1,0
134,A2ML1,2,4,8848915,8849668,1,0
135,A2ML1,2,5,8849760,8850159,1,0
136,A2ML1,2,6,8850275,8851783,1,0
137,A2ML1,2,7,8852013,8852209,1,0
138,A2ML1,2,8,8852337,8854127,1,0
139,A2ML1,2,9,8854250,8854779,1,0
140,A2ML1,2,10,8854832,8855508,1,0
141,A2ML1,2,11,8855593,8857163,1,0
142,A2ML1,2,12,8857341,8857506,1,0
143,A2ML1,2,13,8857589,8857945,1,0
144,A2ML1,2,14,8858103,8860880,1,0
145,A2ML1,2,15,8860956,8861134,1,0
146,A2ML1,2,16,8861298,8863793,1,0
147,A2ML1,2,17,8864009,8867841,1,0
148,A2ML1,2,18,8868058,8868229,1,8
149,A2ML1,2,19,8868358,8868536,1,23
150,A2ML1,2,20,8868628,8869134,1,30
151,A2ML1,2,21,8869204,8874424,1,32
152,A2ML1,2,22,8874528,8874970,1,28
153,A2ML1,2,23,8875013,8876057,1,0
154,A2ML1,2,24,8875013,8880523,1,0
155,A2ML1,2,25,8880617,8886506,1,0
156,A2ML1,0,0,8845175,8845441,2,0
157,A2ML1,0,1,8845503,8846076,2,0
158,A2ML1,0,2,8846223,8847548,2,0
159,A2ML1,0,3,8847699,8848719,2,0
160,A2ML1,0,4,8848915,8849668,2,0
161,A2ML1,0,5,8849760,8850159,2,0
162,A2ML1,0,6,8850275,8851783,2,0
163,A2ML1,0,7,8852013,8852209,2,0
164,A2ML1,0,8,8852337,8854127,2,0
165,A2ML1,0,9,8854250,8854779,2,0
166,A2ML1,0,10,8854832,8855508,2,0
167,A2ML1,0,11,8855593,8857163,2,0
168,A2ML1,0,12,8857341,8857506,2,0
169,A2ML1,0,13,8857589,8857945,2,0
170,A2ML1,0,14,8858103,8860880,2,0
171,A2ML1,0,15,8860956,8861134,2,0
172,A2ML1,0,16,8861298,8863793,2,0
173,A2ML1,0,17,8864009,8867841,2,0
174,A2ML1,0,18,8868058,8868229,2,0
175,A2ML1,0,19,8868358,8868536,2,0
176,A2ML1,0,20,8868628,8869134,2,0
177,A2ML1,0,21,8869204,8874424,2,1
178,A2ML1,0,22,8874528,8874970,2,0
179,A2ML1,0,23,8875013,8876057,2,0
180,A2ML1,0,24,8875013,8880523,2,0
181,A2ML1,0,25,8880617,8886506,2,0
182,A2ML1,1,0,8845175,8845441,2,0
183,A2ML1,1,1,8845503,8846076,2,0
184,A2ML1,1,2,8846223,8847548,2,0
185,A2ML1,1,3,8847699,8848719,2,0
186,A2ML1,1,4,8848915,8849668,2,0
187,A2ML1,1,5,8849760,8850159,2,0
188,A2ML1,1,6,8850275,8851783,2,0
189,A2ML1,1,7,8852013,8852209,2,0
190,A2ML1,1,8,8852337,8854127,2,0
191,A2ML1,1,9,8854250,8854779,2,0
192,A2ML1,1,10,8854832,8855508,2,0
193,A2ML1,1,11,8855593,8857163,2,0
194,A2ML1,1,12,8857341,8857506,2,0
195,A2ML1,1,13,8857589,8857945,2,0
196,A2ML1,1,14,8858103,8860880,2,0
197,A2ML1,1,15,8860956,8861134,2,0
198,A2ML1,1,16,8861298,8863793,2,0
199,A2ML1,1,17,8864009,8867841,2,0
200,A2ML1,1,18,8868058,8868229,2,0
201,A2ML1,1,19,8868358,8868536,2,0
202,A2ML1,1,20,8868628,8869134,2,0
203,A2ML1,1,21,8869204,8874424,2,0
204,A2ML1,1,22,8874528,8874970,2,0
205,A2ML1,1,23,8875013,8876057,2,0
206,A2ML1,1,24,8875013,8880523,2,0
207,A2ML1,1,25,8880617,8886506,2,0
208,A2ML1,2,0,8845175,8845441,2,0
209,A2ML1,2,1,8845503,8846076,2,0
210,A2ML1,2,2,8846223,8847548,2,0
211,A2ML1,2,3,8847699,8848719,2,0
212,A2ML1,2,4,8848915,8849668,2,0
213,A2ML1,2,5,8849760,8850159,2,0
214,A2ML1,2,6,8850275,8851783,2,0
215,A2ML1,2,7,8852013,8852209,2,0
216,A2ML1,2,8,8852337,8854127,2,0
217,A2ML1,2,9,8854250,8854779,2,0
218,A2ML1,2,10,8854832,8855508,2,0
219,A2ML1,2,11,8855593,8857163,2,0
220,A2ML1,2,12,8857341,8857506,2,0
221,A2ML1,2,13,8857589,8857945,2,0
222,A2ML1,2,14,8858103,8860880,2,0
223,A2ML1,2,15,8860956,8861134,2,0
224,A2ML1,2,16,8861298,8863793,2,0
225,A2ML1,2,17,8864009,8867841,2,0
226,A2ML1,2,18,8868058,8868229,2,0
227,A2ML1,2,19,8868358,8868536,2,0
228,A2ML1,2,20,8868628,8869134,2,0
229,A2ML1,2,21,8869204,8874424,2,30
230,A2ML1,2,22,8874528,8874970,2,0
231,A2ML1,2,23,8875013,8876057,2,0
232,A2ML1,2,24,8875013,8880523,2,0
233,A2ML1,2,25,8880617,8886506,2,0
234,A2ML1,0,0,8845175,8845441,3,0
235,A2ML1,0,1,8845503,8846076,3,0
236,A2ML1,0,2,8846223,8847548,3,0
237,A2ML1,0,3,8847699,8848719,3,0
238,A2ML1,0,4,8848915,8849668,3,0
239,A2ML1,0,5,8849760,8850159,3,0
240,A2ML1,0,6,8850275,8851783,3,0
241,A2ML1,0,7,8852013,8852209,3,0
242,A2ML1,0,8,8852337,8854127,3,0
243,A2ML1,0,9,8854250,8854779,3,0
244,A2ML1,0,10,8854832,8855508,3,0
245,A2ML1,0,11,8855593,8857163,3,0
246,A2ML1,0,12,8857341,8857506,3,0
247,A2ML1,0,13,8857589,8857945,3,0
248,A2ML1,0,14,8858103,8860880,3,0
249,A2ML1,0,15,8860956,8861134,3,0
250,A2ML1,0,16,8861298,8863793,3,0
251,A2ML1,0,17,8864009,8867841,3,0
252,A2ML1,0,18,8868058,8868229,3,0
253,A2ML1,0,19,8868358,8868536,3,0
254,A2ML1,0,20,8868628,8869134,3,0
255,A2ML1,0,21,8869204,8874424,3,0
256,A2ML1,0,22,8874528,8874970,3,0
257,A2ML1,0,23,8875013,8876057,3,0
258,A2ML1,0,24,8875013,8880523,3,0
259,A2ML1,0,25,8880617,8886506,3,0
260,A2ML1,1,0,8845175,8845441,3,0
261,A2ML1,1,1,8845503,8846076,3,0
262,A2ML1,1,2,8846223,8847548,3,0
263,A2ML1,1,3,8847699,8848719,3,0
264,A2ML1,1,4,8848915,8849668,3,0
265,A2ML1,1,5,8849760,8850159,3,0
266,A2ML1,1,6,8850275,8851783,3,0
267,A2ML1,1,7,8852013,8852209,3,0
268,A2ML1,1,8,8852337,8854127,3,0
269,A2ML1,1,9,8854250,8854779,3,0
270,A2ML1,1,10,8854832,8855508,3,0
271,A2ML1,1,11,8855593,8857163,3,0
272,A2ML1,1,12,8857341,8857506,3,0
273,A2ML1,1,13,8857589,8857945,3,0
274,A2ML1,1,14,8858103,8860880,3,0
275,A2ML1,1,15,8860956,8861134,3,0
276,A2ML1,1,16,8861298,8863793,3,0
277,A2ML1,1,17,8864009,8867841,3,0
278,A2ML1,1,18,8868058,8868229,3,0
279,A2ML1,1,19,8868358,8868536,3,0
280,A2ML1,1,20,8868628,8869134,3,0
281,A2ML1,1,21,8869204,8874424,3,0
282,A2ML1,1,22,8874528,8874970,3,0
283,A2ML1,1,23,8875013,8876057,3,0
284,A2ML1,1,24,8875013,8880523,3,0
285,A2ML1,1,25,8880617,8886506,3,0
286,A2ML1,2,0,8845175,8845441,3,0
287,A2ML1,2,1,8845503,8846076,3,0
288,A2ML1,2,2,8846223,8847548,3,0
289,A2ML1,2,3,8847699,8848719,3,0
290,A2ML1,2,4,8848915,8849668,3,0
291,A2ML1,2,5,8849760,8850159,3,0
292,A2ML1,2,6,8850275,8851783,3,0
293,A2ML1,2,7,8852013,8852209,3,0
294,A2ML1,2,8,8852337,8854127,3,0
295,A2ML1,2,9,8854250,8854779,3,0
296,A2ML1,2,10,8854832,8855508,3,0
297,A2ML1,2,11,8855593,8857163,3,0
298,A2ML1,2,12,8857341,8857506,3,0
299,A2ML1,2,13,8857589,8857945,3,0
300,A2ML1,2,14,8858103,8860880,3,0
301,A2ML1,2,15,8860956,8861134,3,0
302,A2ML1,2,16,8861298,8863793,3,0
303,A2ML1,2,17,8864009,8867841,3,0
304,A2ML1,2,18,8868058,8868229,3,0
305,A2ML1,2,19,8868358,8868536,3,0
306,A2ML1,2,20,8868628,8869134,3,0
307,A2ML1,2,21,8869204,8874424,3,30
308,A2ML1,2,22,8874528,8874970,3,0
309,A2ML1,2,23,8875013,8876057,3,0
310,A2ML1,2,24,8875013,8880523,3,0
311,A2ML1,2,25,8880617,8886506,3,0
312,A2ML1,0,0,8845175,8845441,4,0
313,A2ML1,0,1,8845503,8846076,4,7
314,A2ML1,0,2,8846223,8847548,4,9
315,A2ML1,0,3,8847699,8848719,4,0
316,A2ML1,0,4,8848915,8849668,4,0
317,A2ML1,0,5,8849760,8850159,4,0
318,A2ML1,0,6,8850275,8851783,4,1
319,A2ML1,0,7,8852013,8852209,4,0
320,A2ML1,0,8,8852337,8854127,4,15
321,A2ML1,0,9,8854250,8854779,4,0
322,A2ML1,0,10,8854832,8855508,4,34
323,A2ML1,0,11,8855593,8857163,4,32
324,A2ML1,0,12,8857341,8857506,4,9
325,A2ML1,0,13,8857589,8857945,4,17
326,A2ML1,0,14,8858103,8860880,4,0
327,A2ML1,0,15,8860956,8861134,4,21
328,A2ML1,0,16,8861298,8863793,4,0
329,A2ML1,0,17,8864009,8867841,4,17
330,A2ML1,0,18,8868058,8868229,4,18
331,A2ML1,0,19,8868358,8868536,4,6
332,A2ML1,0,20,8868628,8869134,4,8
333,A2ML1,0,21,8869204,8874424,4,4
334,A2ML1,0,22,8874528,8874970,4,5
335,A2ML1,0,23,8875013,8876057,4,0
336,A2ML1,0,24,8875013,8880523,4,10
337,A2ML1,0,25,8880617,8886506,4,5
338,A2ML1,1,0,8845175,8845441,4,0
339,A2ML1,1,1,8845503,8846076,4,28
340,A2ML1,1,2,8846223,8847548,4,25
341,A2ML1,1,3,8847699,8848719,4,0
342,A2ML1,1,4,8848915,8849668,4,0
343,A2ML1,1,5,8849760,8850159,4,0
344,A2ML1,1,6,8850275,8851783,4,29
345,A2ML1,1,7,8852013,8852209,4,34
346,A2ML1,1,8,8852337,8854127,4,17
347,A2ML1,1,9,8854250,8854779,4,0
348,A2ML1,1,10,8854832,8855508,4,0
349,A2ML1,1,11,8855593,8857163,4,0
350,A2ML1,1,12,8857341,8857506,4,25
351,A2ML1,1,13,8857589,8857945,4,16
352,A2ML1,1,14,8858103,8860880,4,0
353,A2ML1,1,15,8860956,8861134,4,15
354,A2ML1,1,16,8861298,8863793,4,0
355,A2ML1,1,17,8864009,8867841,4,14
356,A2ML1,1,18,8868058,8868229,4,34
357,A2ML1,1,19,8868358,8868536,4,39
358,A2ML1,1,20,8868628,8869134,4,29
359,A2ML1,1,21,8869204,8874424,4,27
360,A2ML1,1,22,8874528,8874970,4,25
361,A2ML1,1,23,8875013,8876057,4,0
362,A2ML1,1,24,8875013,8880523,4,33
363,A2ML1,1,25,8880617,8886506,4,26
364,A2ML1,2,0,8845175,8845441,4,0
365,A2ML1,2,1,8845503,8846076,4,0
366,A2ML1,2,2,8846223,8847548,4,0
367,A2ML1,2,3,8847699,8848719,4,0
368,A2ML1,2,4,8848915,8849668,4,0
369,A2ML1,2,5,8849760,8850159,4,0
370,A2ML1,2,6,8850275,8851783,4,0
371,A2ML1,2,7,8852013,8852209,4,0
372,A2ML1,2,8,8852337,8854127,4,0
373,A2ML1,2,9,8854250,8854779,4,0
374,A2ML1,2,10,8854832,8855508,4,0
375,A2ML1,2,11,8855593,8857163,4,0
376,A2ML1,2,12,8857341,8857506,4,0
377,A2ML1,2,13,8857589,8857945,4,0
378,A2ML1,2,14,8858103,8860880,4,0
379,A2ML1,2,15,8860956,8861134,4,0
380,A2ML1,2,16,8861298,8863793,4,0
381,A2ML1,2,17,8864009,8867841,4,0
382,A2ML1,2,18,8868058,8868229,4,9
383,A2ML1,2,19,8868358,8868536,4,39
384,A2ML1,2,20,8868628,8869134,4,39
385,A2ML1,2,21,8869204,8874424,4,36
386,A2ML1,2,22,8874528,8874970,4,31
387,A2ML1,2,23,8875013,8876057,4,0
388,A2ML1,2,24,8875013,8880523,4,0
389,A2ML1,2,25,8880617,8886506,4,0
390,A2ML1,0,0,8845175,8845441,5,0
391,A2ML1,0,1,8845503,8846076,5,0
392,A2ML1,0,2,8846223,8847548,5,0
393,A2ML1,0,3,8847699,8848719,5,0
394,A2ML1,0,4,8848915,8849668,5,0
395,A2ML1,0,5,8849760,8850159,5,0
396,A2ML1,0,6,8850275,8851783,5,0
397,A2ML1,0,7,8852013,8852209,5,0
398,A2ML1,0,8,8852337,8854127,5,0
399,A2ML1,0,9,8854250,8854779,5,0
400,A2ML1,0,10,8854832,8855508,5,0
401,A2ML1,0,11,8855593,8857163,5,0
402,A2ML1,0,12,8857341,8857506,5,0
403,A2ML1,0,13,8857589,8857945,5,0
404,A2ML1,0,14,8858103,8860880,5,0
405,A2ML1,0,15,8860956,8861134,5,0
406,A2ML1,0,16,8861298,8863793,5,0
407,A2ML1,0,17,8864009,8867841,5,0
408,A2ML1,0,18,8868058,8868229,5,0
409,A2ML1,0,19,8868358,8868536,5,0
410,A2ML1,0,20,8868628,8869134,5,0
411,A2ML1,0,21,8869204,8874424,5,0
412,A2ML1,0,22,8874528,8874970,5,0
413,A2ML1,0,23,8875013,8876057,5,0
414,A2ML1,0,24,8875013,8880523,5,0
415,A2ML1,0,25,8880617,8886506,5,0
416,A2ML1,1,0,8845175,8845441,5,0
417,A2ML1,1,1,8845503,8846076,5,0
418,A2ML1,1,2,8846223,8847548,5,0
419,A2ML1,1,3,8847699,8848719,5,0
420,A2ML1,1,4,8848915,8849668,5,0
421,A2ML1,1,5,8849760,8850159,5,0
422,A2ML1,1,6,8850275,8851783,5,0
423,A2ML1,1,7,8852013,8852209,5,0
424,A2ML1,1,8,8852337,8854127,5,0
425,A2ML1,1,9,8854250,8854779,5,0
426,A2ML1,1,10,8854832,8855508,5,0
427,A2ML1,1,11,8855593,8857163,5,0
428,A2ML1,1,12,8857341,8857506,5,0
429,A2ML1,1,13,8857589,8857945,5,0
430,A2ML1,1,14,8858103,8860880,5,0
431,A2ML1,1,15,8860956,8861134,5,0
432,A2ML1,1,16,8861298,8863793,5,0
433,A2ML1,1,17,8864009,8867841,5,0
434,A2ML1,1,18,8868058,8868229,5,0
435,A2ML1,1,19,8868358,8868536,5,0
436,A2ML1,1,20,8868628,8869134,5,0
437,A2ML1,1,21,8869204,8874424,5,0
438,A2ML1,1,22,8874528,8874970,5,0
439,A2ML1,1,23,8875013,8876057,5,0
440,A2ML1,1,24,8875013,8880523,5,0
441,A2ML1,1,25,8880617,8886506,5,0
442,A2ML1,2,0,8845175,8845441,5,0
443,A2ML1,2,1,8845503,8846076,5,0
444,A2ML1,2,2,8846223,8847548,5,0
445,A2ML1,2,3,8847699,8848719,5,0
446,A2ML1,2,4,8848915,8849668,5,0
447,A2ML1,2,5,8849760,8850159,5,0
448,A2ML1,2,6,8850275,8851783,5,0
449,A2ML1,2,7,8852013,8852209,5,0
450,A2ML1,2,8,8852337,8854127,5,0
451,A2ML1,2,9,8854250,8854779,5,0
452,A2ML1,2,10,8854832,8855508,5,0
453,A2ML1,2,11,8855593,8857163,5,0
454,A2ML1,2,12,8857341,8857506,5,0
455,A2ML1,2,13,8857589,8857945,5,0
456,A2ML1,2,14,8858103,8860880,5,0
457,A2ML1,2,15,8860956,8861134,5,0
458,A2ML1,2,16,8861298,8863793,5,0
459,A2ML1,2,17,8864009,8867841,5,0
460,A2ML1,2,18,8868058,8868229,5,0
461,A2ML1,2,19,8868358,8868536,5,0
462,A2ML1,2,20,8868628,8869134,5,30
463,A2ML1,2,21,8869204,8874424,5,31
464,A2ML1,2,22,8874528,8874970,5,36
465,A2ML1,2,23,8875013,8876057,5,0
466,A2ML1,2,24,8875013,8880523,5,0
467,A2ML1,2,25,8880617,8886506,5,0
468,A2ML1,0,0,8845175,8845441,6,0
469,A2ML1,0,1,8845503,8846076,6,0
470,A2ML1,0,2,8846223,8847548,6,0
471,A2ML1,0,3,8847699,8848719,6,0
472,A2ML1,0,4,8848915,8849668,6,0
473,A2ML1,0,5,8849760,8850159,6,0
474,A2ML1,0,6,8850275,8851783,6,0
475,A2ML1,0,7,8852013,8852209,6,0
476,A2ML1,0,8,8852337,8854127,6,0
477,A2ML1,0,9,8854250,8854779,6,0
478,A2ML1,0,10,8854832,8855508,6,0
479,A2ML1,0,11,8855593,8857163,6,0
480,A2ML1,0,12,8857341,8857506,6,0
481,A2ML1,0,13,8857589,8857945,6,0
482,A2ML1,0,14,8858103,8860880,6,0
483,A2ML1,0,15,8860956,8861134,6,0
484,A2ML1,0,16,8861298,8863793,6,0
485,A2ML1,0,17,8864009,8867841,6,0
486,A2ML1,0,18,8868058,8868229,6,0
487,A2ML1,0,19,8868358,8868536,6,0
488,A2ML1,0,20,8868628,8869134,6,0
489,A2ML1,0,21,8869204,8874424,6,0
490,A2ML1,0,22,8874528,8874970,6,0
491,A2ML1,0,23,8875013,8876057,6,0
492,A2ML1,0,24,8875013,8880523,6,0
493,A2ML1,0,25,8880617,8886506,6,0
494,A2ML1,1,0,8845175,8845441,6,0
495,A2ML1,1,1,8845503,8846076,6,0
496,A2ML1,1,2,8846223,8847548,6,0
497,A2ML1,1,3,8847699,8848719,6,0
498,A2ML1,1,4,8848915,8849668,6,0
499,A2ML1,1,5,8849760,8850159,6,0
500,A2ML1,1,6,8850275,8851783,6,0
501,A2ML1,1,7,8852013,8852209,6,0
502,A2ML1,1,8,8852337,8854127,6,0
503,A2ML1,1,9,8854250,8854779,6,0
504,A2ML1,1,10,8854832,8855508,6,0
505,A2ML1,1,11,8855593,8857163,6,0
506,A2ML1,1,12,8857341,8857506,6,0
507,A2ML1,1,13,8857589,8857945,6,0
508,A2ML1,1,14,8858103,8860880,6,0
509,A2ML1,1,15,8860956,8861134,6,0
510,A2ML1,1,16,8861298,8863793,6,0
511,A2ML1,1,17,8864009,8867841,6,0
512,A2ML1,1,18,8868058,8868229,6,0
513,A2ML1,1,19,8868358,8868536,6,0
514,A2ML1,1,20,8868628,8869134,6,0
515,A2ML1,1,21,8869204,8874424,6,1
516,A2ML1,1,22,8874528,8874970,6,0
517,A2ML1,1,23,8875013,8876057,6,0
518,A2ML1,1,24,8875013,8880523,6,0
519,A2ML1,1,25,8880617,8886506,6,0
520,A2ML1,2,0,8845175,8845441,6,0
521,A2ML1,2,1,8845503,8846076,6,0
522,A2ML1,2,2,8846223,8847548,6,0
523,A2ML1,2,3,8847699,8848719,6,0
524,A2ML1,2,4,8848915,8849668,6,0
525,A2ML1,2,5,8849760,8850159,6,0
526,A2ML1,2,6,8850275,8851783,6,0
527,A2ML1,2,7,8852013,8852209,6,0
528,A2ML1,2,8,8852337,8854127,6,0
529,A2ML1,2,9,8854250,8854779,6,0
530,A2ML1,2,10,8854832,8855508,6,0
531,A2ML1,2,11,8855593,8857163,6,0
532,A2ML1,2,12,8857341,8857506,6,0
533,A2ML1,2,13,8857589,8857945,6,0
534,A2ML1,2,14,8858103,8860880,6,0
535,A2ML1,2,15,8860956,8861134,6,0
536,A2ML1,2,16,8861298,8863793,6,0
537,A2ML1,2,17,8864009,8867841,6,0
538,A2ML1,2,18,8868058,8868229,6,0
539,A2ML1,2,19,8868358,8868536,6,0
540,A2ML1,2,20,8868628,8869134,6,30
541,A2ML1,2,21,8869204,8874424,6,35
542,A2ML1,2,22,8874528,8874970,6,32
543,A2ML1,2,23,8875013,8876057,6,0
544,A2ML1,2,24,8875013,8880523,6,0
545,A2ML1,2,25,8880617,8886506,6,0
546,A2ML1,0,0,8845175,8845441,7,0
547,A2ML1,0,1,8845503,8846076,7,0
548,A2ML1,0,2,8846223,8847548,7,0
549,A2ML1,0,3,8847699,8848719,7,0
550,A2ML1,0,4,8848915,8849668,7,3
551,A2ML1,0,5,8849760,8850159,7,0
552,A2ML1,0,6,8850275,8851783,7,0
553,A2ML1,0,7,8852013,8852209,7,0
554,A2ML1,0,8,8852337,8854127,7,9
555,A2ML1,0,9,8854250,8854779,7,31
556,A2ML1,0,10,8854832,8855508,7,0
557,A2ML1,0,11,8855593,8857163,7,0
558,A2ML1,0,12,8857341,8857506,7,0
559,A2ML1,0,13,8857589,8857945,7,0
560,A2ML1,0,14,8858103,8860880,7,0
561,A2ML1,0,15,8860956,8861134,7,0
562,A2ML1,0,16,8861298,8863793,7,0
563,A2ML1,0,17,8864009,8867841,7,15
564,A2ML1,0,18,8868058,8868229,7,5
565,A2ML1,0,19,8868358,8868536,7,3
566,A2ML1,0,20,8868628,8869134,7,4
567,A2ML1,0,21,8869204,8874424,7,4
568,A2ML1,0,22,8874528,8874970,7,2
569,A2ML1,0,23,8875013,8876057,7,5
570,A2ML1,0,24,8875013,8880523,7,3
571,A2ML1,0,25,8880617,8886506,7,9
572,A2ML1,1,0,8845175,8845441,7,0
573,A2ML1,1,1,8845503,8846076,7,0
574,A2ML1,1,2,8846223,8847548,7,0
575,A2ML1,1,3,8847699,8848719,7,0
576,A2ML1,1,4,8848915,8849668,7,27
577,A2ML1,1,5,8849760,8850159,7,35
